nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE SANTA ROSA,2301,2023,1,8230,PAMPULHA,4,0,0,0,0,NA,0,0,89.99,2315560,21165,NA,NA,0.04,1.49,43,3.49,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.492,Baixo,65.61,19.81,14.3,0.27
CENTRO DE SAUDE SAO JOSE OPERARIO,2301,2023,1,3290,LESTE,5,0,0,0,0,NA,0,0,89.99,2315560,8324,NA,NA,0.13,1.84,17,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2,Médio,0,100,0,0
CENTRO DE SAUDE MANGUEIRAS,2301,2023,1,1360,BARREIRO,6,0,0,0,0,NA,0,0,89.99,2315560,14154,NA,NA,2.49,2.02,32,31.22,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.821,Elevado,0,36.5,44.9,18.6
CENTRO DE SAUDE SERRANO,2301,2023,1,8400,PAMPULHA,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,26333,NA,NA,0.08,1.52,50,0.88,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.277,Baixo,74.83,22.62,2.55,0
CENTRO DE SAUDE PARAUNA - VENDA NOVA,2301,2023,1,9280,VENDA NOVA,10,0,0,0,0,NA,0,0,89.99,2315560,18712,NA,NA,0.19,1.87,37,0.93,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.162,Médio,0,89.24,5.38,5.39
CENTRO DE SAUDE COPACABANA,2301,2023,1,9380,VENDA NOVA,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,14188,NA,NA,0.16,1.78,32,2.75,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.286,Médio,9.19,68.76,6.29,15.76
CENTRO DE SAUDE VERA CRUZ,2301,2023,1,3320,LESTE,7,0,0,0,0,NA,0,0,89.99,2315560,13736,NA,NA,0.18,2.13,34,8.61,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.422,Médio,0,57.85,42.15,0
CENTRO DE SAUDE PADRE JOAQUIM MAIA,2301,2023,1,8280,PAMPULHA,3,0,0,0,0,NA,0,0,89.99,2315560,18335,NA,NA,0.7,1.48,42,0.43,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.278,Baixo,77.56,17.08,5.36,0
CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,2301,2023,1,4260,NORDESTE,7,0,0,0,0,NA,0,0,89.99,2315560,27284,NA,NA,0.08,1.43,54,0.56,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.424,Baixo,60.66,36.34,3.01,0
CENTRO DE SAUDE FLORAMAR,2301,2023,1,6240,NORTE,6,0,0,0,0,NA,0,0,89.99,2315560,8042,NA,NA,0.26,1.63,14,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.078,Médio,0,92.2,7.8,0
CENTRO DE SAUDE CACHOEIRINHA,2301,2023,1,4200,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,13788,NA,NA,0.35,1.8,33,0.81,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.636,Médio,40.52,55.35,4.13,0
CENTRO DE SAUDE PINDORAMA ELZA MARTINS,2301,2023,1,5580,NOROESTE,8,0,0,0,0,NA,0,0,89.99,2315560,13034,NA,NA,0.15,2.14,29,4.39,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.403,Médio,0,66.02,27.65,6.33
CENTRO DE SAUDE SANTA MARIA,2301,2023,1,7470,OESTE,4,0,0,0,0,NA,0,0,89.99,2315560,9285,NA,NA,0.06,1.63,19,0.2,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.052,Médio,8.32,78.22,13.47,0
CENTRO DE SAUDE SANTO ANTONIO,2301,2023,1,9410,VENDA NOVA,5,0,0,0,0,NA,0,0,89.99,2315560,11412,NA,NA,0.16,1.68,25,0.7,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.022,Médio,0,97.81,2.19,0
CENTRO DE SAUDE SANTA INES,2301,2023,1,3260,LESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,14961,NA,NA,0.07,1.66,34,0.34,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.315,Baixo,68.5,31.5,0,0
CENTRO DE SAUDE VILA PINHO,2301,2023,1,1280,BARREIRO,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,16373,NA,NA,2.31,1.98,31,21.09,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.064,Elevado,0,20.09,53.45,26.45
CENTRO DE SAUDE MG-20,2301,2023,1,6340,NORTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,7597,NA,NA,8.42,2.03,16,10.64,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.201,Elevado,0,0,79.85,20.15
CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,2301,2023,1,4340,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,17311,NA,NA,0.51,1.77,39,5.47,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.827,Elevado,0,28.6,60.07,11.33
CENTRO DE SAUDE JOAO VITAL,2301,2023,1,4640,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,6474,NA,NA,3.54,1.77,16,12.94,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.585,Muito Elevado,0,0,41.47,58.53
CENTRO DE SAUDE TUPI,2301,2023,1,6250,NORTE,6,0,0,0,0,NA,0,0,89.99,2315560,8433,NA,NA,0.3,1.86,14,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.624,Elevado,0,37.63,62.37,0
CENTRO DE SAUDE JARDIM MONTANHES,2301,2023,1,5280,NOROESTE,8,0,0,0,0,NA,0,0,89.99,2315560,24448,NA,NA,0.1,1.51,57,0.52,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.311,Baixo,68.92,31.08,0,0
CENTRO DE SAUDE BONSUCESSO,2301,2023,1,1230,BARREIRO,6,0,0,0,0,NA,0,0,89.99,2315560,12489,NA,NA,0.89,1.98,27,3.02,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.086,Muito Elevado,0,38.27,14.89,46.84
