co_unidade,nome_cs
0190365,CENTRO DE SAUDE MENINO JESUS
0200263,CENTRO DE SAUDE SAO JORGE
0200387,CENTRO DE SAUDE CARLOS CHAGAS
0212172,CENTRO DE SAUDE CIDADE OZANAN
0218197,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0218499,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0221619,CENTRO DE SAUDE SANTA AMELIA
0221724,CENTRO DE SAUDE SANTO ANTONIO
0222739,CENTRO DE SAUDE CIDADE OZANAN
0223530,CENTRO DE SAUDE MENINO JESUS
0223549,CENTRO DE SAUDE MENINO JESUS
0228761,CENTRO DE SAUDE CARLOS CHAGAS
0229334,CENTRO DE SAUDE CARLOS CHAGAS
0245461,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0246425,CENTRO DE SAUDE MENINO JESUS
0247405,CENTRO DE SAUDE CARLOS CHAGAS
0249238,CENTRO DE SAUDE SALGADO FILHO
0251119,CENTRO DE SAUDE CAMPO ALEGRE
0252476,CENTRO DE SAUDE MENINO JESUS
0257753,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
0258024,CENTRO DE SAUDE MENINO JESUS
0267651,CENTRO DE SAUDE CARLOS CHAGAS
0268003,CENTRO DE SAUDE MENINO JESUS
0268119,CENTRO DE SAUDE OSWALDO CRUZ
0268208,CENTRO DE SAUDE OSWALDO CRUZ
0269816,CENTRO DE SAUDE OSWALDO CRUZ
0271020,CENTRO DE SAUDE SAO JORGE
0272825,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0272876,CENTRO DE SAUDE CARLOS CHAGAS
0276669,CENTRO DE SAUDE HORTO
0279129,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0280143,CENTRO DE SAUDE SERRANO
0281379,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0284157,CENTRO DE SAUDE MENINO JESUS
0295876,CENTRO DE SAUDE OSWALDO CRUZ
0297534,CENTRO DE SAUDE MENINO JESUS
