nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE CIDADE OZANAN,40-49,3561
CENTRO DE SAUDE CIDADE OZANAN,50-59,3478
CENTRO DE SAUDE CIDADE OZANAN,60-69,3263
CENTRO DE SAUDE CIDADE OZANAN,70+,2973
CENTRO DE SAUDE CONFISCO,0-4,572
CENTRO DE SAUDE CONFISCO,5-9,680
CENTRO DE SAUDE CONFISCO,10-14,633
CENTRO DE SAUDE CONFISCO,15-19,690
CENTRO DE SAUDE CONFISCO,20-24,846
CENTRO DE SAUDE CONFISCO,25-29,1007
CENTRO DE SAUDE CONFISCO,30-39,1942
CENTRO DE SAUDE CONFISCO,40-49,1711
CENTRO DE SAUDE CONFISCO,50-59,1453
CENTRO DE SAUDE CONFISCO,60-69,1100
CENTRO DE SAUDE CONFISCO,70+,864
CENTRO DE SAUDE CONJUNTO BETANIA,0-4,357
CENTRO DE SAUDE CONJUNTO BETANIA,5-9,416
CENTRO DE SAUDE CONJUNTO BETANIA,10-14,395
CENTRO DE SAUDE CONJUNTO BETANIA,15-19,536
CENTRO DE SAUDE CONJUNTO BETANIA,20-24,589
CENTRO DE SAUDE CONJUNTO BETANIA,25-29,622
CENTRO DE SAUDE CONJUNTO BETANIA,30-39,1144
CENTRO DE SAUDE CONJUNTO BETANIA,40-49,1345
CENTRO DE SAUDE CONJUNTO BETANIA,50-59,1226
CENTRO DE SAUDE CONJUNTO BETANIA,60-69,839
CENTRO DE SAUDE CONJUNTO BETANIA,70+,944
CENTRO DE SAUDE CONJUNTO PAULO VI,0-4,695
CENTRO DE SAUDE CONJUNTO PAULO VI,5-9,708
CENTRO DE SAUDE CONJUNTO PAULO VI,10-14,635
CENTRO DE SAUDE CONJUNTO PAULO VI,15-19,667
CENTRO DE SAUDE CONJUNTO PAULO VI,20-24,740
CENTRO DE SAUDE CONJUNTO PAULO VI,25-29,759
CENTRO DE SAUDE CONJUNTO PAULO VI,30-39,1467
CENTRO DE SAUDE CONJUNTO PAULO VI,40-49,1313
CENTRO DE SAUDE CONJUNTO PAULO VI,50-59,812
CENTRO DE SAUDE CONJUNTO PAULO VI,60-69,562
CENTRO DE SAUDE CONJUNTO PAULO VI,70+,278
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,0-4,399
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,5-9,484
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,10-14,506
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,15-19,549
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,20-24,588
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,25-29,568
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,30-39,1182
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,40-49,1186
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,50-59,927
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,60-69,799
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,70+,554
CENTRO DE SAUDE CONJUNTO SANTA MARIA,0-4,762
CENTRO DE SAUDE CONJUNTO SANTA MARIA,5-9,849
CENTRO DE SAUDE CONJUNTO SANTA MARIA,10-14,849
CENTRO DE SAUDE CONJUNTO SANTA MARIA,15-19,908
CENTRO DE SAUDE CONJUNTO SANTA MARIA,20-24,988
CENTRO DE SAUDE CONJUNTO SANTA MARIA,25-29,896
CENTRO DE SAUDE CONJUNTO SANTA MARIA,30-39,2287
CENTRO DE SAUDE CONJUNTO SANTA MARIA,40-49,2704
CENTRO DE SAUDE CONJUNTO SANTA MARIA,50-59,2484
CENTRO DE SAUDE CONJUNTO SANTA MARIA,60-69,2442
CENTRO DE SAUDE CONJUNTO SANTA MARIA,70+,2321
CENTRO DE SAUDE COPACABANA,0-4,768
CENTRO DE SAUDE COPACABANA,5-9,827
CENTRO DE SAUDE COPACABANA,10-14,864
CENTRO DE SAUDE COPACABANA,15-19,889
CENTRO DE SAUDE COPACABANA,20-24,1174
CENTRO DE SAUDE COPACABANA,25-29,1074
CENTRO DE SAUDE COPACABANA,30-39,2321
CENTRO DE SAUDE COPACABANA,40-49,2352
CENTRO DE SAUDE COPACABANA,50-59,1736
CENTRO DE SAUDE COPACABANA,60-69,1316
CENTRO DE SAUDE COPACABANA,70+,855
CENTRO DE SAUDE COQUEIROS,0-4,702
CENTRO DE SAUDE COQUEIROS,5-9,845
CENTRO DE SAUDE COQUEIROS,10-14,837
CENTRO DE SAUDE COQUEIROS,15-19,957
CENTRO DE SAUDE COQUEIROS,20-24,1119
CENTRO DE SAUDE COQUEIROS,25-29,1082
CENTRO DE SAUDE COQUEIROS,30-39,2156
CENTRO DE SAUDE COQUEIROS,40-49,2365
CENTRO DE SAUDE COQUEIROS,50-59,2181
CENTRO DE SAUDE COQUEIROS,60-69,1760
CENTRO DE SAUDE COQUEIROS,70+,1626
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,0-4,682
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,5-9,744
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,10-14,822
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,15-19,818
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,20-24,981
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,25-29,1028
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,30-39,2511
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,40-49,2392
