nome_cs,pct_area_favela,fonte_favelas,data_extracao_favelas
CENTRO DE SAUDE RIO BRANCO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CABANA,14.4,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PADRE EUSTAQUIO,1.38,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PIRATININGA,7.25,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ALCIDES LINS,2.66,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JOAO XXIII,8.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MARIANO DE ABREU,14.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GRANJA DE FREITAS,1.6,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAMPO ALEGRE,0.17,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VISTA ALEGRE,25.48,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,2.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA IMPERIAL,21.38,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO GERALDO,1.15,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE GENTIL GOMES,1.56,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JAQUELINE II,1.05,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAMARGOS,0.7,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MARIA GORETTI,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MILIONARIOS,1.07,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM ORIONE,0.99,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PARAISO,5.02,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTOS ANJOS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO JORGE,12.77,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ERMELINDA,6.16,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO MARCOS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO PAULO,6.15,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BOM JESUS,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BAIRRO DAS INDUSTRIAS - CENTRO DE SAUDE DR. JOSE DOMINGOS,2.46,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE REGINA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CEU AZUL,1.57,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PROVIDENCIA,2.3,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOSSA SENHORA APARECIDA,10.76,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MINAS CAIXA,8.18,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JAQUELINE,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO,9.88,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE HELIOPOLIS,4.87,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LAGOA,0.05,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE OSWALDO CRUZ,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA,3.27,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE TIA AMANCIA,1.69,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CARLOS CHAGAS,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA AMELIA,0.01,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BETANIA,4.06,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PALMEIRAS,3.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BOA VISTA,0.19,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CAFEZAL,98.9,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ZILAH SPOSITO,31.88,IBGE_Censo2022_code_favela,2026-05-15
