cep,lat,lon,motivo
31585130,-19.8220365,-44.0049274,NA
31844234,-19.8419104,-43.9127313,NA
31746045,-19.8082925,-43.9359365,NA
31250700,-19.8901615,-43.9605122,NA
31872130,-19.8305782,-43.8969419,NA
31570050,-19.808752900000002,-43.9776035,NA
31630550,-19.7996515,-43.9594261,NA
31230410,-19.8970425,-43.9597044,NA
30550110,-19.9442992,-43.985514,NA
30451496,-19.9481566,-43.9629328,NA
31980340,-19.8527555,-43.9172538,NA
30662060,-19.9917918,-44.0399116,NA
30692560,-19.9933385,-44.0521619,NA
30710400,-19.9129008,-43.9620492,NA
31230720,-19.9004444,-43.947772,NA
31655700,-19.7864423,-43.9816496,NA
31070080,-19.8852191,-43.9035255,NA
31360730,-19.8685318,-44.0128439,NA
31530250,-19.8302728,-43.9815872,NA
30640380,-19.9797665,-44.031408,NA
31630440,-19.7987782,-43.9520872,NA
31975230,NA,NA,Endereço não geocodificado
31998664,NA,NA,Endereço não geocodificado
30730390,-19.9151073,-43.9930762,NA
30730490,NA,NA,Endereço não geocodificado
31260260,-19.8601697,-43.9399356,NA
31870502,-19.8416118,-43.9010325,NA
30421360,-19.9401614,-43.972329,NA
30421428,-19.9462522,-43.9723653,NA
31742093,-19.8353411,-43.9332718,NA
30120010,-19.9216294,-43.9331831,NA
31998618,-19.8288592,-43.868605,NA
30285270,-19.9065877,-43.8966711,NA
31330570,-19.8774713,-43.9916636,NA
30881230,-19.8976926,-44.0211947,NA
31545220,-19.8363376,-44.0094609,NA
30285190,-19.9114108,-43.8884683,NA
31630900,-19.7859325,-43.9490126,NA
30730050,-19.9210027,-43.9849855,NA
31844120,-19.8376871,-43.9167207,NA
31575510,-19.8070047,-43.9991107,NA
31950430,-19.8674509,-43.8962182,NA
31842550,-19.8350147,-43.9194404,NA
30622020,-19.9865324,-43.9885272,NA
30150224,-19.9243884,-43.9266274,NA
30180006,-19.9217027,-43.9431059,NA
30850340,-19.9200044,-44.0010004,NA
31540230,-19.8209777,-43.9934421,NA
31995000,-19.8413562,-43.8934692,NA
31270320,-19.859128,-43.9554236,NA
30295450,-19.9125164,-43.8800514,NA
31920007,-19.8800899,-43.9133529,NA
31660030,-19.802957,-43.9806182,NA
31930460,NA,NA,Endereço não geocodificado
31140610,-19.8875461,-43.9321896,NA
31814190,-19.8509746,-43.9233868,NA
31744206,-19.8271996,-43.9469199,NA
31540470,-19.829498,-43.9876338,NA
31650070,-19.7921894,-43.9665378,NA
30880540,NA,NA,Endereço não geocodificado
30575340,-19.9678524,-43.9755877,NA
30550550,-19.9490072,-43.9817632,NA
31235080,-19.8899927,-43.9511024,NA
30451565,NA,NA,Endereço não geocodificado
30810640,-19.8916178,-43.9926116,NA
30530036,-19.9254052,-44.0049677,NA
30575320,-19.9714583,-43.9751047,NA
30881340,NA,NA,Endereço não geocodificado
31742700,-19.826007100000002,-43.9260966,NA
